Price,Equity
2010-02-11,1.0
2010-02-12,1.003077318213853
2010-02-16,1.028842618721717
2010-02-17,1.040148448287253
2010-02-18,1.0527683817091074
2010-02-19,1.0525454414873523
2010-02-22,1.0480326937549398
2010-02-23,1.0220285546103962
2010-02-24,1.0422430918453338
2010-02-25,1.0418478554847703
2010-02-26,1.049877840158992
2010-03-01,1.0785858602013858
2010-03-02,1.0831346653135454
2010-03-03,1.0864584005535314
2010-03-04,1.0936239299892505
2010-03-05,1.1232666979047323
2010-03-08,1.1268999935344877
2010-03-09,1.1385457964524388
2010-03-10,1.154842673742406
2010-03-11,1.161355336297241
2010-03-12,1.1626017778383952
2010-03-15,1.1567080921809394
2010-03-16,1.1731018601889098
2010-03-17,1.1791962902590576
2010-03-18,1.1879843185908208
2010-03-19,1.1726229803092858
2010-03-22,1.196043616916862
2010-03-23,1.2141512443193658
2010-03-24,1.2018182797505783
2010-03-25,1.196518492898695
2010-03-26,1.2008903341197428
2010-03-29,1.212822992185736
2010-03-30,1.2218747083993802
2010-03-31,1.2101397485320728
2010-04-01,1.208557325088635
2010-04-05,1.2335572745054344
2010-04-06,1.2402258468625975
2010-04-07,1.2352165078214985
2010-04-08,1.2385342676733366
2010-04-09,1.2541412219165613
2010-04-12,1.2575200231431285
2010-04-13,1.2706007018069034
2010-04-14,1.3011883959532082
2010-04-15,1.3127698267236798
2010-04-16,1.2819007455420992
2010-04-19,1.2805184623675827
2010-04-20,1.2933578787957
2010-04-21,1.3085635417270285
2010-04-22,1.321523776350217
2010-04-23,1.3329493269714334
2010-04-26,1.3265678374125793
2010-04-27,1.2729496646311513
2010-04-28,1.2749524001460861
2010-04-29,1.3192681505687873
2010-04-30,1.26818557037632
2010-05-03,1.3036600160779217
2010-05-04,1.2269251554708467
2010-05-05,1.2195092074749745
2010-05-06,1.1731830567064594
2010-05-07,1.1387013732251199
2010-05-10,1.2101087119267673
2010-05-11,1.2091391996737548
2010-05-12,1.2350030219803658
2010-05-13,1.2132920463415517
2010-05-14,1.1856048627833873
2010-05-17,1.1908646218339989
2010-05-18,1.1721750884163717
2010-05-19,1.1605213341055376
2010-05-20,1.1105913015928595
2010-05-21,1.1209789678286493
2010-05-24,1.1194210606252153
2010-05-25,1.1187288896804395
2010-05-26,1.1035919903002538
2010-05-27,1.155470368891545
2010-05-28,1.1479670779903146
2010-06-01,1.135063816113571
2010-06-02,1.168084492357304
2010-06-03,1.1808868122698795
2010-06-04,1.1337229572693974
2010-06-07,1.1075791558488997
2010-06-08,1.1050184335979316
2010-06-09,1.0939096564778925
2010-06-10,1.1333243341451933
2010-06-11,1.1461794219621861
2010-06-14,1.1461161927061743
2010-06-15,1.182181648561123
2010-06-16,1.1894662084160654
2010-06-17,1.1940310298007233
2010-06-18,1.1952428468264493
2010-06-21,1.1831793448701955
2010-06-22,1.1722663948913778
2010-06-23,1.1662997263769814
2010-06-24,1.1444422829245786
2010-06-25,1.1444652177350554
2010-06-28,1.1398476384728298
2010-06-29,1.0866712058414878
2010-06-30,1.064612584620903
2010-07-01,1.0604154954194056
2010-07-02,1.0570672610784417
2010-07-06,1.0605605023530422
2010-07-07,1.10500093362807
2010-07-08,1.1127425220452578
2010-07-09,1.1259473963623154
2010-07-12,1.1305497038700651
2010-07-13,1.1477495089785674
2010-07-14,1.1550087117771097
2010-07-15,1.1564081664143717
2010-07-16,1.1182065554113891
2010-07-19,1.1295732851978648
2010-07-20,1.145551463072376
2010-07-21,1.1275897142925202
2010-07-22,1.1613255913662357
2010-07-23,1.171599690060415
2010-07-26,1.1825958503584277
2010-07-27,1.182208677478101
2010-07-28,1.171743684045568
2010-07-29,1.1610738819078816
2010-07-30,1.1641896661961402
2010-08-02,1.1899682667188396
2010-08-03,1.1844725907344533
2010-08-04,1.1983406689886549
2010-08-05,1.195285006308789
2010-08-06,1.1931511561914179
2010-08-09,1.202123134109272
2010-08-10,1.1909167517428303
2010-08-11,1.1526831053747744
2010-08-12,1.1407031803185728
2010-08-13,1.1310354267752512
2010-08-16,1.133597043069496
2010-08-17,1.151381875737803
2010-08-18,1.1563535659493247
2010-08-19,1.1368806851808857
2010-08-20,1.1372633444282216
2010-08-23,1.1239071559361098
2010-08-24,1.0975036752681113
2010-08-25,1.1111973692833814
2010-08-26,1.0950492897353838
2010-08-27,1.111404650144259
2010-08-30,1.0965736378952846
2010-08-31,1.0928308545668473
2010-09-01,1.1335240041412724
2010-09-02,1.1493234041097435
2010-09-03,1.1727674219581832
2010-09-07,1.1625082801806892
2010-09-08,1.1792004639196538
2010-09-09,1.1848449808926536
2010-09-10,1.189926031298062
2010-09-13,1.209900713938763
2010-09-14,1.2158205641974342
2010-09-15,1.2242743501536477
2010-09-16,1.230277246638777
2010-09-17,1.2351170366904918
2010-09-20,1.259539886161413
2010-09-21,1.2587447658969193
2010-09-22,1.255666092415084
2010-09-23,1.2547391711831741
2010-09-24,1.2823365710022396
2010-09-27,1.2720939616441207
2010-09-28,1.2722725621223514
2010-09-29,1.2655022157966882
2010-09-30,1.253779723227237
2010-10-01,1.251046355752202
2010-10-04,1.2211308907117933
2010-10-05,1.2855537040682106
2010-10-06,1.2634340591834476
2010-10-07,1.2720104686836535
2010-10-08,1.2894997567635609
2010-10-11,1.2912018550490902
2010-10-12,1.3091767104030843
2010-10-13,1.330255391442266
2010-10-14,1.325416648521721
2010-10-15,1.3806935423903668
2010-10-18,1.3777417653358508
2010-10-19,1.3440582331572837
2010-10-20,1.3621451467729881
2010-10-21,1.3681176567070072
2010-10-22,1.3850815489421415
2010-10-25,1.398189257613683
2010-10-26,1.403525114652647
2010-10-27,1.4123741504408023
2010-10-28,1.4173912544863938
2010-10-29,1.413094006225206
2010-11-01,1.415083520731358
2010-11-02,1.44147937183212
2010-11-03,1.4539492010391764
2010-11-04,1.4847443966033682
2010-11-05,1.4857045758656362
2010-11-08,1.4879948194328547
2010-11-09,1.4739814829822628
2010-11-10,1.4872232176056224
2010-11-11,1.472502946538593
2010-11-12,1.4285335832085955
2010-11-15,1.4192052031916595
2010-11-16,1.3762192252791876
2010-11-17,1.3843738705098794
2010-11-18,1.4247752547548589
2010-11-19,1.4268101263027733
2010-11-22,1.4495749035185248
2010-11-23,1.4086141132854857
2010-11-24,1.4593709375593462
2010-11-26,1.45284114077609
2010-11-29,1.4494507920275206
2010-11-30,1.4321372073774072
2010-12-01,1.4617488892925383
2010-12-02,1.4759440080084645
2010-12-03,1.4797005391937799
2010-12-06,1.479052253014329
2010-12-07,1.4796810599043717
2010-12-08,1.4854210911967218
2010-12-09,1.4863686763487718
2010-12-10,1.4958878358583314
2010-12-13,1.4907503894634178
2010-12-14,1.4930613077002333
2010-12-15,1.487494386653999
2010-12-16,1.5057361574606345
