Date,QQQ,TQQQ,SMA200,Signal_TQQQ(1)/QQQ(0),Position,QQQ_return,TQQQ_return,Strategy_return,Strategy_equity,QQQ_equity,TQQQ_equity
2010-02-11,38.04463577270508,0.4138334393501282,,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2010-02-12,38.123050689697266,0.41552793979644775,,0,0.0,0.0020611293918193496,0.004094643605844439,0.0020611293918193496,1.0020611293918193,1.0020611293918193,1.0040946436058444
2010-02-16,38.61091613769531,0.4316229224205017,,0,0.0,0.012797125077135929,0.03873381566577283,0.012797125077135929,1.0148846309995825,1.0148846309995825,1.042987060442263
2010-02-17,38.82869338989258,0.43894755840301514,,0,0.0,0.00564030263930082,0.01696998839041619,0.00564030263930082,1.0206088874623953,1.0206088874623953,1.0606865387493225
2010-02-18,39.072635650634766,0.44726917147636414,,0,0.0,0.006282525613022338,0.018958103112874714,0.006282525613022338,1.027020888938756,1.027020888938756,1.0807951435213703
2010-02-19,39.05519485473633,0.44726917147636414,,0,0.0,-0.0004463685545654794,0.0,-0.0004463685545654794,1.0265624591090519,1.0265624591090519,1.0807951435213703
2010-02-22,38.9767951965332,0.44413018226623535,,0,0.0,-0.002007406658569466,-0.007018121100918928,-0.002007406658569466,1.024501730793199,1.024501730793199,1.0732099923188523
2010-02-23,38.47151184082031,0.4267894923686981,,0,0.0,-0.012963696814093928,-0.03904416000068711,-0.012963696814093928,1.0112204009696815,1.0112204009696815,1.0313074096644188
2010-02-24,38.86355972290039,0.4396947920322418,,0,0.0,0.010190602430760087,0.03023809136424327,0.010190602430760087,1.0215253460458373,1.0215253460458373,1.0624921773424725
2010-02-25,38.854854583740234,0.43944597244262695,,0,0.0,-0.00022399232654513046,-0.0005658916005459869,-0.00022399232654513046,1.0212965322069516,1.0212965322069516,1.0618909219436685
2010-02-26,38.99422073364258,0.4449271261692047,,0,0.0,0.003586840084601972,0.012472872822365755,0.003586840084601972,1.0249597595469364,1.0249597595469364,1.0751357523642966
2010-03-01,39.56049728393555,0.4640119671821594,,0,0.0,0.014522063517079298,0.042894307607796334,0.014522063517079298,1.0398442902775273,1.0398442902775273,1.1212529560463502
2010-03-02,39.68244934082031,0.4668026566505432,,0,0.0,0.0030826724954817752,0.006014261841846391,0.0030826724954817752,1.0430497896707496,1.0430497896707496,1.1279964649149572
2010-03-03,39.72602844238281,0.46939346194267273,,0,0.0,0.0010981958595401853,0.005550108284985811,0.0010981958595401853,1.0441952626310602,1.0441952626310602,1.1342569674403165
2010-03-04,39.8567008972168,0.47457602620124817,,0,0.0,0.003289341017904901,0.011040980922756072,0.003289341017904901,1.0476299769391346,1.0476299769391346,1.146780276979328
2010-03-05,40.457820892333984,0.4955541491508484,,0,0.0,0.015082030915387845,0.044203924748411616,0.015082030915387845,1.0634303646392178,1.0634303646392178,1.1974724660458849
2010-03-08,40.53622055053711,0.49819478392601013,,0,0.0,0.001937812182513765,0.0053286503194183155,0.001937812182513765,1.0654910929550707,1.0654910929550707,1.2038533780845748
2010-03-09,40.762725830078125,0.5070146918296814,,0,0.0,0.005587725655346487,0.017703733937489696,0.005587725655346487,1.0714447648707188,1.0714447648707188,1.2251660779899323
2010-03-10,41.09378433227539,0.5194225311279297,,0,0.0,0.008121598726672508,0.024472346656211563,0.008121598726672508,1.0801466093087928,1.0801466093087928,1.255148766961933
2010-03-11,41.250606536865234,0.5242061614990234,,0,0.0,0.003816202550775305,0.009209516500383819,0.003816202550775305,1.0842686675544484,1.0842686675544484,1.2667080802417052
2010-03-12,41.259315490722656,0.5254020094871521,,0,0.0,0.0002111230497821026,0.0022812551167064044,0.0002111230497821026,1.0844975816623257,1.0844975816623257,1.26959776453113
2010-03-15,41.15479278564453,0.5218640565872192,,0,0.0,-0.0025333116614992823,-0.0067338016148553725,-0.0025333116614992823,1.0817502112918327,1.0817502112918327,1.2610485450541136
2010-03-16,41.416133880615234,0.5317299962043762,,0,0.0,0.0063501982948110935,0.018905190906758795,0.0063501982948110935,1.0886195396389897,1.0886195396389897,1.284888908541052
2010-03-17,41.529361724853516,0.5354171395301819,,0,0.0,0.0027339066597733552,0.006934239843765511,0.0027339066597733552,1.0915957238483682,1.0915957238483682,1.2937986364054697
2010-03-18,41.66877746582031,0.5408493876457214,,0,0.0,0.0033570403005582783,0.010145824095781242,0.0033570403005582783,1.0952602546852443,1.0952602546852443,1.3069252897858012
2010-03-19,41.4167366027832,0.5312821269035339,,0,0.0,-0.0060486742920128345,-0.017689325273775536,-0.0060486742920128345,1.0886353821396664,1.0886353821396664,1.2838066632262568
2010-03-22,41.79172134399414,0.5456330180168152,,0,0.0,0.00905394224579581,0.02701180857884755,0.00905394224579581,1.0984918240162889,1.0984918240162889,1.3184846030655735
2010-03-23,42.079524993896484,0.5570439100265503,,0,0.0,0.006886618704536884,0.020913125916040887,0.006886618704536884,1.1060567183583403,1.1060567183583403,1.346058237587845
2010-03-24,41.87894058227539,0.5491202473640442,,0,0.0,-0.004766793628259491,-0.014224484856370512,-0.004766793628259491,1.1007843742407761,1.1007843742407761,1.326911252571484
2010-03-25,41.817901611328125,0.5456829071044922,,0,0.0,-0.001457509910675725,-0.006259722303179283,-0.001457509910675725,1.0991799701058032,1.0991799701058032,1.3186051566094226
